REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2015,40,12029,84,43,1.05578,0.698312,0.357469
National,X,2015,41,13111,116,54,1.29662,0.884753,0.411868
National,X,2015,42,13441,97,52,1.10855,0.721672,0.386876
National,X,2015,43,13537,98,52,1.10807,0.723942,0.384132
National,X,2015,44,14687,97,68,1.12344,0.660448,0.462994
National,X,2015,45,15048,122,86,1.38224,0.810739,0.571505
National,X,2015,46,15250,84,98,1.19344,0.55082,0.642623
National,X,2015,47,15234,119,92,1.38506,0.781147,0.603912
National,X,2015,48,16201,145,81,1.39498,0.895006,0.499969
National,X,2015,49,16673,140,106,1.47544,0.839681,0.635758
National,X,2015,50,17358,244,192,2.51181,1.40569,1.10612
National,X,2015,51,16878,220,166,2.287,1.30347,0.983529
National,X,2015,52,18865,264,200,2.45958,1.39942,1.06016
National,X,2016,1,19786,396,184,2.93137,2.00142,0.92995
National,X,2016,2,18689,571,224,4.25384,3.05527,1.19857
National,X,2016,3,18798,716,315,5.48463,3.80892,1.67571
National,X,2016,4,20791,1035,412,6.95974,4.97812,1.98163
National,X,2016,5,22261,1572,587,9.69858,7.06168,2.6369
National,X,2016,6,24934,2265,864,12.5491,9.08398,3.46515
National,X,2016,7,27208,3135,1092,15.5359,11.5223,4.01353
National,X,2016,8,30966,4410,1276,18.3621,14.2414,4.12065
National,X,2016,9,33880,5523,1629,21.1098,16.3017,4.80815
National,X,2016,10,36781,6679,2018,23.6454,18.1588,5.48653
National,X,2016,11,34233,5047,1790,19.972,14.7431,5.22887
National,X,2016,12,30161,3919,1652,18.4709,12.9936,5.47727
National,X,2016,13,27603,2965,1514,16.2265,10.7416,5.48491
National,X,2016,14,23979,1971,1390,14.0164,8.21969,5.79674
National,X,2016,15,21683,1506,1364,13.2362,6.94553,6.29064
National,X,2016,16,19860,1123,1329,12.3464,5.65458,6.69184
National,X,2016,17,17970,701,1143,10.2615,3.90095,6.3606
National,X,2016,18,15380,427,822,8.12094,2.77633,5.3446
National,X,2016,19,14090,280,662,6.68559,1.98722,4.69837
National,X,2016,20,12545,224,505,5.81108,1.78557,4.02551
National,X,2016,21,11591,139,408,4.71918,1.19921,3.51997
National,X,2016,22,10067,82,226,3.0595,0.814543,2.24496
National,X,2016,23,9172,70,207,3.02006,0.763192,2.25687
National,X,2016,24,8364,59,94,1.82927,0.705404,1.12386
National,X,2016,25,7417,44,83,1.71228,0.593232,1.11905
National,X,2016,26,6298,26,51,1.22261,0.412829,0.809781
National,X,2016,27,5978,24,30,0.903312,0.401472,0.50184
National,X,2016,28,6328,24,31,0.869153,0.379267,0.489886
National,X,2016,29,5888,24,26,0.849185,0.407609,0.441576
National,X,2016,30,5756,20,25,0.781793,0.347464,0.434329
National,X,2016,31,5675,33,20,0.933921,0.581498,0.352423
National,X,2016,32,5773,22,30,0.900745,0.381084,0.51966
National,X,2016,33,5974,27,21,0.803482,0.451958,0.351523
National,X,2016,34,6264,63,25,1.40485,1.00575,0.399106
National,X,2016,35,7093,78,41,1.67771,1.09968,0.578035
National,X,2016,36,7732,57,56,1.46146,0.737196,0.724263
National,X,2016,37,8727,74,58,1.51255,0.847943,0.664604
National,X,2016,38,9418,97,67,1.74135,1.02994,0.711404
National,X,2016,39,10596,106,83,1.78369,1.00038,0.783314
National,X,2016,40,13380,120,90,1.56951,0.896861,0.672646
National,X,2016,41,14053,108,83,1.35914,0.768519,0.590621
National,X,2016,42,15110,115,97,1.40304,0.761085,0.641959
National,X,2016,43,15312,143,88,1.50862,0.933908,0.574713
National,X,2016,44,16652,201,118,1.91569,1.20706,0.708624
National,X,2016,45,17811,271,121,2.20089,1.52153,0.679355
National,X,2016,46,19060,347,144,2.57608,1.82057,0.755509
National,X,2016,47,18520,451,169,3.34773,2.43521,0.912527
National,X,2016,48,21542,532,183,3.3191,2.46959,0.849503
National,X,2016,49,20564,696,180,4.25987,3.38456,0.875316
National,X,2016,50,23476,1359,210,6.68342,5.78889,0.894531
National,X,2016,51,26934,2563,341,10.7819,9.51585,1.26606
National,X,2016,52,33273,4270,388,13.9993,12.8332,1.16611
National,X,2017,1,35028,4288,386,13.3436,12.2416,1.10198
National,X,2017,2,35198,4935,476,15.373,14.0207,1.35235
National,X,2017,3,36732,6062,655,18.2865,16.5033,1.78319
National,X,2017,4,38052,6254,797,18.5299,16.4354,2.0945
National,X,2017,5,41435,7779,1097,21.4215,18.774,2.64752
National,X,2017,6,47995,9702,1890,24.1525,20.2146,3.93791
National,X,2017,7,49356,9546,2552,24.5117,19.3411,5.1706
National,X,2017,8,47381,8763,2952,24.7251,18.4948,6.23035
National,X,2017,9,40431,5605,2389,19.772,13.8631,5.90883
National,X,2017,10,38487,4632,2785,19.2714,12.0352,7.23621
National,X,2017,11,36598,3795,3171,19.0338,10.3694,8.66441
National,X,2017,12,35188,3221,3715,19.7113,9.15369,10.5576
National,X,2017,13,32481,2345,3658,18.4816,7.21961,11.262
National,X,2017,14,28713,1443,2986,15.4251,5.0256,10.3995
National,X,2017,15,25001,902,2283,12.7395,3.60786,9.13163
National,X,2017,16,22091,567,1575,9.69626,2.56666,7.1296
National,X,2017,17,18795,326,946,6.76776,1.7345,5.03325
National,X,2017,18,16223,252,708,5.91752,1.55335,4.36417
National,X,2017,19,15302,232,584,5.33264,1.51614,3.81649
National,X,2017,20,14292,216,479,4.86286,1.51134,3.35153
National,X,2017,21,12821,180,378,4.35223,1.40395,2.94829
National,X,2017,22,11644,171,314,4.16524,1.46857,2.69667
National,X,2017,23,10662,136,225,3.38586,1.27556,2.1103
National,X,2017,24,9568,131,162,3.06229,1.36915,1.69314
National,X,2017,25,8455,107,117,2.64932,1.26552,1.3838
National,X,2017,26,7498,94,96,2.53401,1.25367,1.28034
National,X,2017,27,7071,75,79,2.17791,1.06067,1.11724
National,X,2017,28,7394,92,68,2.16392,1.24425,0.919665
National,X,2017,29,7178,87,45,1.83895,1.21204,0.626916
National,X,2017,30,6755,72,50,1.80607,1.06588,0.740192
National,X,2017,31,6725,96,35,1.94796,1.42751,0.520446
National,X,2017,32,6893,76,55,1.90048,1.10257,0.797911
National,X,2017,33,7596,62,40,1.34281,0.816219,0.526593
National,X,2017,34,8160,80,37,1.43382,0.980392,0.453431
National,X,2017,35,9404,120,62,1.93535,1.27605,0.659294
National,X,2017,36,10381,128,68,1.88806,1.23302,0.655043
National,X,2017,37,11602,148,72,1.89622,1.27564,0.620583
National,X,2017,38,12699,137,75,1.66942,1.07883,0.590598
National,X,2017,39,13622,155,77,1.70313,1.13787,0.565262
National,X,2017,40,15532,230,112,2.20191,1.48081,0.721092
National,X,2017,41,16557,248,98,2.08975,1.49786,0.591895
National,X,2017,42,17827,278,110,2.17647,1.55943,0.617042
National,X,2017,43,18391,340,135,2.58279,1.84873,0.734055
National,X,2017,44,20015,503,219,3.60729,2.51312,1.09418
National,X,2017,45,21886,689,240,4.24472,3.14813,1.09659
National,X,2017,46,23794,939,322,5.29966,3.94637,1.35328
National,X,2017,47,23830,1336,353,7.0877,5.60638,1.48133
National,X,2017,48,27213,1552,436,7.30533,5.70316,1.60218
National,X,2017,49,30767,2479,827,10.7453,8.05733,2.68794
National,X,2017,50,35194,4560,844,15.3549,12.9568,2.39814
National,X,2017,51,48009,9237,1698,22.777,19.2401,3.53684
National,X,2017,52,55518,12002,2092,25.3864,21.6182,3.76815
National,X,2018,1,61316,13018,2535,25.3653,21.231,4.13432
National,X,2018,2,68276,15149,3246,26.9421,22.1879,4.75423
National,X,2018,3,69124,14782,3905,27.034,21.3848,5.64927
National,X,2018,4,80322,16634,5350,27.3698,20.7091,6.66069
National,X,2018,5,81687,15193,6915,27.0643,18.599,8.46524
National,X,2018,6,81391,14116,7858,26.9981,17.3434,9.65463
National,X,2018,7,74973,11371,8210,26.1174,15.1668,10.9506
National,X,2018,8,60034,7177,6400,22.6155,11.9549,10.6606
National,X,2018,9,48489,4405,4559,18.4867,9.08453,9.40213
National,X,2018,10,40978,2897,3534,15.6938,7.06965,8.62414
National,X,2018,11,36794,2349,3384,15.5813,6.38419,9.19715
National,X,2018,12,33442,2023,3103,15.328,6.04928,9.27875
National,X,2018,13,30668,1708,2927,15.1135,5.56932,9.54415
National,X,2018,14,27339,1132,2337,12.6888,4.1406,8.54823
National,X,2018,15,25052,901,1917,11.2486,3.59652,7.65208
National,X,2018,16,21483,595,1424,9.39813,2.76963,6.6285
National,X,2018,17,19328,472,1074,7.99876,2.44205,5.55671
National,X,2018,18,17095,346,724,6.25914,2.02398,4.23516
National,X,2018,19,14978,191,467,4.39311,1.2752,3.11791
National,X,2018,20,13013,176,236,3.16606,1.35249,1.81357
National,X,2018,21,11799,119,163,2.39003,1.00856,1.38147
National,X,2018,22,10789,76,89,1.52934,0.704421,0.824914
National,X,2018,23,9703,73,80,1.57683,0.752345,0.824487
National,X,2018,24,8929,51,65,1.29914,0.571173,0.727965
National,X,2018,25,8502,49,38,1.02329,0.576335,0.446954
National,X,2018,26,7723,57,29,1.11356,0.738055,0.375502
National,X,2018,27,6879,44,25,1.00305,0.639628,0.363425
National,X,2018,28,6986,51,13,0.916118,0.730031,0.186086
National,X,2018,29,6835,57,15,1.0534,0.833943,0.219459
National,X,2018,30,6733,48,19,0.995099,0.712907,0.282192
National,X,2018,31,6292,43,17,0.953592,0.683408,0.270184
National,X,2018,32,6790,43,22,0.95729,0.633284,0.324006
National,X,2018,33,7065,36,18,0.764331,0.509554,0.254777
National,X,2018,34,7783,77,27,1.33625,0.989336,0.34691
National,X,2018,35,8712,98,33,1.50367,1.12489,0.378788
National,X,2018,36,9786,119,52,1.74739,1.21602,0.531371
National,X,2018,37,12030,155,48,1.68745,1.28845,0.399002
National,X,2018,38,13182,158,66,1.69929,1.1986,0.500683
National,X,2018,39,14763,169,52,1.49699,1.14475,0.352232
National,X,2018,40,16528,218,71,1.74855,1.31897,0.429574
National,X,2018,41,18035,223,83,1.6967,1.23648,0.460216
National,X,2018,42,20221,312,91,1.99298,1.54295,0.450027
National,X,2018,43,21457,340,101,2.05527,1.58456,0.470709
National,X,2018,44,22496,390,99,2.17372,1.73364,0.440078
National,X,2018,45,23563,546,98,2.7331,2.31719,0.415906
National,X,2018,46,24519,668,106,3.15674,2.72442,0.432318
National,X,2018,47,24772,897,76,3.92782,3.62102,0.306798
National,X,2018,48,28328,1002,107,3.91485,3.53714,0.377718
National,X,2018,49,29078,1660,152,6.23152,5.70878,0.522732
National,X,2018,50,33152,3242,194,10.3644,9.7792,0.585183
National,X,2018,51,38423,5289,192,14.2649,13.7652,0.499701
National,X,2018,52,43377,6849,244,16.352,15.7895,0.56251
National,X,2019,1,44453,5243,153,12.1387,11.7945,0.344184
National,X,2019,2,41606,5075,218,12.7217,12.1978,0.523963
National,X,2019,3,42041,6673,187,16.3174,15.8726,0.444804
National,X,2019,4,44194,8323,247,19.3918,18.8329,0.558899
National,X,2019,5,48640,10676,292,22.5493,21.949,0.600329
National,X,2019,6,54030,13151,429,25.1342,24.3402,0.794003
National,X,2019,7,53289,13354,515,26.026,25.0596,0.966428
National,X,2019,8,54061,13708,478,26.2407,25.3565,0.884186
National,X,2019,9,53221,13436,441,26.0743,25.2457,0.82862
National,X,2019,10,53256,13199,438,25.6065,24.7841,0.822443
National,X,2019,11,53364,13376,569,26.1318,25.0656,1.06626
National,X,2019,12,48749,10336,623,22.4805,21.2025,1.27797
National,X,2019,13,42842,7672,598,19.3035,17.9077,1.39583
National,X,2019,14,36735,4892,597,14.9422,13.317,1.62515
National,X,2019,15,31723,3211,567,11.9093,10.122,1.78735
National,X,2019,16,27999,1893,518,8.61102,6.76096,1.85007
National,X,2019,17,24711,1031,413,5.84355,4.17223,1.67132
National,X,2019,18,20167,634,338,4.81976,3.14375,1.67601
National,X,2019,19,17735,404,277,3.83986,2.27798,1.56188
National,X,2019,20,16998,333,269,3.54159,1.95905,1.58254
National,X,2019,21,15674,276,260,3.41968,1.76088,1.6588
National,X,2019,22,14371,212,231,3.0826,1.47519,1.6074
National,X,2019,23,12617,144,208,2.78989,1.14132,1.64857
National,X,2019,24,11400,129,135,2.31579,1.13158,1.18421
National,X,2019,25,10463,109,90,1.90194,1.04177,0.860174
National,X,2019,26,9132,93,97,2.0806,1.0184,1.0622
National,X,2019,27,8852,129,86,2.42883,1.4573,0.971532
National,X,2019,28,9075,102,81,2.01653,1.12397,0.892562
National,X,2019,29,8339,105,80,2.21849,1.25914,0.959348
National,X,2019,30,7951,104,85,2.37706,1.30801,1.06905
National,X,2019,31,7881,104,85,2.39817,1.31963,1.07854
National,X,2019,32,8080,79,87,2.05446,0.977723,1.07673
National,X,2019,33,8310,78,95,2.08183,0.938628,1.1432
National,X,2019,34,8892,94,116,2.36167,1.05713,1.30454
National,X,2019,35,10506,142,221,3.45517,1.35161,2.10356
National,X,2019,36,11816,136,230,3.09749,1.15098,1.94651
National,X,2019,37,13366,152,180,2.48391,1.13721,1.3467
National,X,2019,38,15055,162,253,2.75656,1.07605,1.6805
National,X,2019,39,17349,153,323,2.74367,0.881895,1.86178
National,X,2019,40,19857,136,124,1.30936,0.684897,0.624465
National,X,2019,41,22116,146,181,1.47857,0.660156,0.818412
National,X,2019,42,23141,172,187,1.55136,0.74327,0.80809
National,X,2019,43,24641,201,354,2.25234,0.815714,1.43663
National,X,2019,44,25429,221,556,3.05557,0.869086,2.18648
National,X,2019,45,28851,414,1075,5.161,1.43496,3.72604
National,X,2019,46,31439,535,1589,6.75594,1.70171,5.05423
National,X,2019,47,36492,898,2581,9.5336,2.46081,7.07278
National,X,2019,48,35393,1076,2794,10.9344,3.04015,7.89422
National,X,2019,49,41925,1425,3461,11.6541,3.39893,8.25522
National,X,2019,50,44911,2155,5098,16.1497,4.79838,11.3513
National,X,2019,51,54279,3694,8570,22.5944,6.80558,15.7888
National,X,2019,52,63804,5972,11253,26.9967,9.35991,17.6368
National,X,2020,1,64934,5651,9637,23.5439,8.70268,14.8412
National,X,2020,2,60470,6094,7917,23.1702,10.0777,13.0924
National,X,2020,3,60120,7699,8019,26.1444,12.8061,13.3383
National,X,2020,4,63442,9283,8546,28.1028,14.6323,13.4706
National,X,2020,5,70682,11860,9400,30.0784,16.7794,13.299
National,X,2020,6,69892,12681,8479,30.2753,18.1437,12.1316
National,X,2020,7,67358,13049,6946,29.6847,19.3726,10.3121
National,X,2020,8,62923,12347,5526,28.4046,19.6224,8.78216
National,X,2020,9,60160,11316,4210,25.8078,18.8098,6.99801
National,X,2020,10,53063,8680,2519,21.1051,16.3579,4.74719
National,X,2020,11,45167,5297,1630,15.3364,11.7276,3.60883
